word_c,char_c,word,bpe,character,morfessor
14,122,115.16058731079102,113.21180152893066,100.78411960601807,101.96965074539185
10,80,69.79587268829346,70.95790672302246,76.1431794166565,72.03881025314331
11,110,86.39578819274902,127.78297209739685,110.01555633544922,100.23316812515259
18,172,146.12854433059692,215.49614334106445,246.05961513519287,204.2210340499878
15,102,102.91294527053833,146.7065510749817,159.75563645362854,114.06195259094238
14,85,95.45165348052979,113.45569133758545,106.13107466697693,87.92227077484131
12,87,77.75569105148315,80.12680721282959,78.91220808029175,72.67117118835449
15,100,96.79390144348145,91.12759327888489,76.20546650886536,77.2366452217102
23,175,176.59959363937378,146.98527836799622,135.42240262031555,123.57077932357788
8,47,52.28335475921631,43.23159313201904,50.08178949356079,38.9102144241333
16,122,125.36820077896118,109.41537380218506,111.69205236434937,105.31897020339966
14,132,110.84020137786865,124.29537630081177,115.84595108032227,117.76219177246094
10,71,62.63992643356323,51.5816490650177,56.541611194610596,53.04262590408325
10,85,66.33223009109497,70.65205955505371,84.9148166179657,66.31622123718262
11,97,78.90395736694336,102.28378438949585,99.96502304077148,126.7433443069458
21,195,159.62923383712769,167.0139229297638,152.75563955307007,160.26025104522705
20,125,125.8002347946167,100.16537070274353,86.06601214408875,90.27603006362915
17,139,131.08295822143555,167.12598776817322,154.0366175174713,193.0290756225586
20,135,136.76245641708374,120.21670126914978,100.63141369819641,105.51842260360718
9,71,66.99988842010498,95.90773010253906,97.05865478515625,69.56479692459106
5,49,28.32517910003662,82.93523073196411,74.90165853500366,53.15828609466553
22,185,175.753586769104,202.45265698432922,208.0085380077362,202.65470027923584
11,62,65.55783939361572,69.26060390472412,69.30742716789246,97.7981653213501
12,90,79.1490626335144,87.65228962898254,78.97506666183472,68.27750539779663
17,136,120.05683040618896,148.78883409500122,172.68451952934265,122.82461357116699
11,106,86.20548391342163,115.8060531616211,120.77607274055481,113.02325916290283
14,92,104.41166019439697,121.62208819389343,108.55966663360596,97.76832294464111
12,102,93.52084970474243,114.57237434387207,90.40569496154785,95.72081422805786
9,70,57.49617671966553,58.2149703502655,84.51214933395386,55.73890781402588
18,165,148.54901504516602,163.674973487854,150.52690482139587,157.09961938858032
11,103,77.88949680328369,105.01787567138672,94.63128852844238,92.45224142074585
19,155,148.91269874572754,157.74100303649902,185.39373683929443,136.07701444625854
19,132,142.9570689201355,159.7498083114624,147.02193188667297,134.81279182434082
12,102,90.89094161987305,108.99775886535645,108.39114594459534,101.33901023864746
15,111,113.07852029800415,102.95112419128418,107.25895047187805,100.2750792503357
13,122,104.21268653869629,105.45858550071716,103.86695623397827,94.8693699836731
16,134,125.38325214385986,162.23241758346558,163.25939631462097,154.36212730407715
6,40,35.67021322250366,42.72583055496216,55.57079863548279,38.62449502944946
10,87,78.91203784942627,73.61605668067932,80.21797776222229,73.82124614715576
22,182,162.09435081481934,151.54608821868896,146.01734137535095,155.90523529052734
11,76,74.18130254745483,87.35317754745483,77.79811000823975,66.17477416992188
12,98,83.90019989013672,103.92966890335083,93.85918974876404,105.47791051864624
21,181,189.1964840888977,245.6662256717682,199.4124596118927,190.27023363113403
9,48,51.121556758880615,74.8303689956665,88.28833341598511,63.85242509841919
16,138,133.6985764503479,144.2517614364624,135.49071860313416,142.4021143913269
9,95,61.787452697753906,94.4833869934082,75.22094941139221,75.21296453475952
7,75,47.87584733963013,58.47339963912964,59.086934089660645,48.620821475982666
14,132,111.28316974639893,94.3648099899292,93.61512064933777,93.4633617401123
10,73,74.89784717559814,80.52157497406006,71.38127303123474,62.80750370025635
20,173,168.46761655807495,144.3473196029663,208.25660395622253,144.65838241577148
5,47,40.1031231880188,52.492647886276245,41.36841893196106,43.489920139312744
12,120,106.6045970916748,139.56321811676025,137.0731601715088,132.96530485153198
