word_c,char_c,word,bpe,character,morfessor,morpheme
21,108,128.3406219482422,140.16378211975098,136.65560293197632,119.55361604690552,130.62508344650269
19,107,128.98037719726562,158.994642496109,133.66017866134644,125.9192762374878,91.64499521255493
21,127,88.94769096374512,105.45305156707764,111.95524024963379,99.3097653388977,83.77605056762695
17,80,83.24178647994995,107.26285099983215,92.99604630470276,85.75041484832764,72.40332365036011
25,126,128.0020260810852,145.21372532844543,133.67723774909973,129.5911808013916,113.76562070846558
9,44,52.23452377319336,61.31506156921387,66.4070405960083,63.35011386871338,45.88236999511719
28,161,153.05271005630493,174.29143524169922,174.01290082931519,161.24649715423584,103.91186189651489
20,115,103.08760023117065,118.58468651771545,115.10196042060852,114.52080392837524,77.41660022735596
12,67,49.5620813369751,59.89113235473633,64.20824408531189,63.07954454421997,45.108423709869385
17,102,93.3379430770874,124.75072956085205,105.79116296768188,101.22258853912354,95.1357831954956
14,82,63.38186454772949,107.81694984436035,113.93533492088318,116.88919115066528,52.04483366012573
42,220,160.9417176246643,213.47441816329956,182.76312804222107,181.11337089538574,121.2570366859436
22,113,115.97744846343994,125.32503056526184,133.91269278526306,123.72654104232788,94.75892639160156
26,136,126.44245433807373,166.17025876045227,169.05038905143738,165.25785398483276,123.41479969024658
25,125,117.65212774276733,130.03613924980164,135.1129150390625,129.7999291419983,105.52555131912231
19,102,108.47292041778564,123.17688703536987,132.49574065208435,105.63821220397949,103.00358057022095
12,72,65.21831130981445,80.7578022480011,78.3614912033081,67.43057775497437,67.95513343811035
31,165,172.12033891677856,221.52283644676208,211.8371512889862,183.2439160346985,172.82946157455444
11,54,44.63083362579346,78.46165466308594,74.00898027420044,71.59302997589111,51.49298906326294
20,110,82.31779861450195,85.17824196815491,98.10746097564697,96.19105386734009,71.17730379104614
26,144,131.09461641311646,147.933580160141,127.62895679473877,115.09459352493286,105.65972328186035
30,162,142.78937911987305,152.8179898262024,162.94529795646667,135.22410011291504,130.6109914779663
21,112,117.79664850234985,125.80804181098938,131.31232595443726,111.23143291473389,98.0906925201416
28,146,140.8603572845459,135.01989674568176,137.32335710525513,136.7037787437439,123.53743743896484
11,52,44.20288419723511,38.87000393867493,37.54343843460083,41.42869567871094,32.86758899688721
25,135,116.55613136291504,128.29459929466248,122.0669093132019,111.93097734451294,84.45688533782959
